"Row.names" "mean_wild" "sd_wild" "mean_captive" "sd_captive"
"127" "Enhydrobacter" 0.000525120449503105 0.00287620315600103 0.00602954476936991 0.033571084490986
"128" "Enterobacter" 1.69496881251221 4.72478276810225 0.0447277780122837 0.128877557206088
"129" "Enterococcus" 0.0191562796389671 0.0644295520437843 0.0211447712004703 0.0365295334848684
"130" "Epulopiscium" 0 0 0.0022369421551177 0.0097957325775609
"131" "Erwinia" 0.00168035455481106 0.00920368094276571 0.0319723275728598 0.178014386056896
"132" "Erysipelothrix" 0.00339029020884188 0.018569384238716 0 0
"133" "Erysipelotrichaceae UCG-006" 0 0 0.000246838309799357 0.00137433754468206
"134" "Escherichia-Shigella" 4.13124562305464 7.60286331147373 30.982294472522 23.9657991368045
"135" "Ezakiella" 0 0 0.00143560589746903 0.00799311535499666
"136" "Facklamia" 0 0 0.00156362662027712 0.00608593488946425
"137" "Faecalibaculum" 0 0 0.00143560589746903 0.00799311535499666
"138" "Ferruginibacter" 0.0709902925930053 0.383449809496919 0.000881127137834718 0.00490590827715856
"139" "Fimbriiglobus" 0.0267824159586258 0.146693333650257 0.000367403923873907 0.00204561847410905
"140" "Finegoldia" 0 0 0.00114848471797522 0.00639449228399733
"141" "Flavobacterium" 6.32650091008687 8.89448828269492 0.0615456729281642 0.241462212471502
"142" "Fluviicola" 0.051252133007242 0.206472981991254 0 0
"143" "Fonticella" 0.00341328292177018 0.0186953205140067 0 0
"144" "Frondihabitans" 0.0850367968929518 0.190357729085915 0 0
"145" "Fusobacterium" 0 0 0.00757900440196438 0.0274118860973067
"146" "Galbitalea" 0.0144604929540336 0.0475920329666224 0 0
"147" "Gemmata" 0.0104666912941756 0.0573284292426291 0 0
"148" "Gemmatimonas" 0.00163853842372604 0.00897464456013708 0 0
"149" "Gemmobacter" 0.323972805411025 1.09864005672169 0.000519390806523029 0.00289184562294046
"150" "Geobacillus" 0 0 0.00445525585202497 0.014115401941376
"151" "Giesbergeria" 0.000657494616762825 0.00360124633039214 0 0
"152" "Glutamicibacter" 0 0 0.0262068198980121 0.0878664831542813
"153" "Granulicatella" 0 0 0.00200984825645664 0.0111903614969953
"154" "Granulicella" 0.0190474332326199 0.0894557224509621 0 0
"155" "Gulosibacter" 0 0 0.00114848471797522 0.00639449228399733
